Property Type,Area,Region,Complex Name,Year,Home Type,Price
2-комнатная квартира,67.85 м²,"Астана, Нура р-н",Атмосфера 2,2024,монолитный,29514750
2-комнатная квартира,62.94 м²,"Астана, Нура р-н",West Side,2024,монолитный,25176000
2-комнатная квартира,76.18 м²,"Астана, Нура р-н",GreenLine.Flora,2024,монолитный,42508440
2-комнатная квартира,62.43 м²,"Астана, Нура р-н",EcoPark,2024,монолитный,28405650
2-комнатная квартира,56.31 м²,"Астана, Нура р-н",Arena Garden,2024,монолитный,22186140
2-комнатная квартира,47.36 м²,"Астана, Нура р-н",GreenLine.Atmosfera,2024,монолитный,23411730
2-комнатная квартира,41.41 м²,"Астана, Нура р-н",ONAI,2024,монолитный,20994870
2-комнатная квартира,42.56 м²,"Астана, Нура р-н",Arena Garden,2024,монолитный,18513600
2-комнатная квартира,55.44 м²,"Астана, Нура р-н",Sezim Qala.Baqyt Towers,2024,монолитный,22065120
2-комнатная квартира,73.47 м²,"Астана, Нура р-н",Evolution,2024,монолитный,45551400
2-комнатная квартира,49.85 м²,"Астана, Нура р-н",EcoPark,2024,монолитный,21684750
2-комнатная квартира,40.38 м²,"Астана, Нура р-н",Arena Garden,2024,монолитный,19927530
2-комнатная квартира,59.51 м²,"Астана, Нура р-н",Sezim Qala.Baqyt Towers,2024,монолитный,22851840
2-комнатная квартира,59.72 м²,"Астана, Нура р-н",ONAI,2024,монолитный,24903240
2-комнатная квартира,59.6 м²,"Астана, Нура р-н",Arena Towers,2024,монолитный,32660800
2-комнатная квартира,70.44 м²,"Астана, Нура р-н",GreenLine.Viva,2024,монолитный,31486680
2-комнатная квартира,60.45 м²,"Астана, Нура р-н",Sezim Qala.Baqyt Towers,2024,монолитный,23212800
2-комнатная квартира,64.91 м²,"Астана, Нура р-н",Атмосфера 2,2024,монолитный,28235850
2-комнатная квартира,49.59 м²,"Астана, Нура р-н",Sultan Beibarys,2024,монолитный,19315305
2-комнатная квартира,61.49 м²,"Астана, Нура р-н",West Side,2024,монолитный,24596000
2-комнатная квартира,77.37 м²,"Астана, Нура р-н",GreenLine.Flora,2024,монолитный,43017720
2-комнатная квартира,61.89 м²,"Астана, Нура р-н",Атмосфера 2,2024,монолитный,26922150
2-комнатная квартира,71.54 м²,"Астана, Нура р-н",Tumar Club,2024,монолитный,33301870
2-комнатная квартира,51.81 м²,"Астана, Нура р-н",GreenLine.Viva,2024,монолитный,26008620
2-комнатная квартира,47.74 м²,"Астана, Нура р-н",Arena Towers,2024,монолитный,23010680
2-комнатная квартира,59.62 м²,"Астана, Нура р-н",EcoPark,2024,монолитный,27127100
2-комнатная квартира,59.49 м²,"Астана, Нура р-н",ONAI,2024,монолитный,23320080
2-комнатная квартира,51.71 м²,"Астана, Нура р-н",West Side,2024,монолитный,20684000
2-комнатная квартира,49.8 м²,"Астана, Нура р-н",Arena Towers,2024,монолитный,27190800
2-комнатная квартира,52.13 м²,"Астана, Нура р-н",EcoPark,2024,монолитный,22676550
2-комнатная квартира,70.85 м²,"Астана, Нура р-н",Evolution,2024,монолитный,43927000
2-комнатная квартира,49.44 м²,"Астана, Нура р-н",GreenLine.Flora,2024,монолитный,29565120
2-комнатная квартира,67 м²,"Астана, Нура р-н",Tumar Club,2024,монолитный,28642500
2-комнатная квартира,49.09 м²,"Астана, Нура р-н",GreenLine.Atmosfera,2024,монолитный,24741360
2-комнатная квартира,50.26 м²,"Астана, Нура р-н",GreenLine.Viva,2024,монолитный,23974020
2-комнатная квартира,75.55 м²,"Астана, Нура р-н",Evolution,2024,монолитный,43063500
2-комнатная квартира,55.48 м²,"Астана, Нура р-н",Tumar Club,2024,монолитный,23717700
2-комнатная квартира,47.91 м²,"Астана, Нура р-н",EcoPark,2024,монолитный,20840850
2-комнатная квартира,61.73 м²,"Астана, Нура р-н",GreenLine.Viva,2024,монолитный,31605760
2-комнатная квартира,60.24 м²,"Астана, Нура р-н",West Side,2024,монолитный,24096000
2-комнатная квартира,56.22 м²,"Астана, Нура р-н",Arena Garden,2024,монолитный,22993980
2-комнатная квартира,63.87 м²,"Астана, Нура р-н",GreenLine.Viva,2024,монолитный,31998870
2-комнатная квартира,63.27 м²,"Астана, Нура р-н",ONAI,2024,монолитный,27332640
2-комнатная квартира,62.03 м²,"Астана, Нура р-н",Arena Towers,2024,монолитный,30270640
2-комнатная квартира,52.57 м²,"Астана, Нура р-н",ONAI,2024,монолитный,25759300
2-комнатная квартира,56.35 м²,"Астана, Нура р-н",Arena city,2024,монолитный,24343200
2-комнатная квартира,42.29 м²,"Астана, Нура р-н",GreenLine.Atmosfera,2024,монолитный,20848970
2-комнатная квартира,51.04 м²,"Астана, Нура р-н",Arena Garden,2024,монолитный,20364960
2-комнатная квартира,63.3 м²,"Астана, Нура р-н",EcoPark,2024,монолитный,28801500
2-комнатная квартира,62.99 м²,"Астана, Нура р-н",Атмосфера 2,2024,монолитный,27400650
2-комнатная квартира,45.65 м²,"Астана, Нура р-н",Arena Garden,2024,монолитный,20086000
2-комнатная квартира,47.79 м²,"Астана, Нура р-н",GreenLine.Viva,2024,монолитный,26141130
2-комнатная квартира,66.53 м²,"Астана, Нура р-н",Sultan Beibarys,2024,монолитный,25913435
2-комнатная квартира,48.64 м²,"Астана, Нура р-н",Arena city,2024,монолитный,22812160
2-комнатная квартира,55.56 м²,"Астана, Нура р-н",Tumar Club,2024,монолитный,23487990
2-комнатная квартира,78.6 м²,"Астана, Нура р-н",Evolution,2024,монолитный,44802000
2-комнатная квартира,56.16 м²,"Астана, Нура р-н",Arena city,2024,монолитный,22798930
2-комнатная квартира,48.63 м²,"Астана, Нура р-н",ONAI,2024,монолитный,23925960
2-комнатная квартира,58.78 м²,"Астана, Нура р-н",EcoPark,2024,монолитный,25569300
